	begin_id	title
0	0	Periodic table of chemical elements and actinides
1	1	abstract
2	7	<SEC0>
3	11	Evolution of the principle of classification of chemical elements
4	43	Construction of the periodic table
5	49	Beyond Uranium
6	59	Nuclear synthesis
7	74	Means of detecting radioactivity
8	80	Chemical identification
9	86	Status of the irradiation of uranium by neutrons in 1939
10	96	Discovery of neptunium
11	127	Discovery of plutonium
12	175	Discoveries of Curium and Americium
13	198	Discovery of the transcurium elements
14	206	Mendelevium
15	215	Actinides
16	231	Conclusion
